# help-inventory.csv — Phase 1 Discovery & Inventory (RC_ERP_v2)
# Generated by P1-INVENTORY agent from routes/web.php (1,940 lines).
#
# Each row = one authenticated PAGE route (after collapsing standard
# resource actions index/create/store/show/edit/update/destroy into a
# single row keyed by the .index route name). Custom action routes
# (e.g. audit, checklist, reconcile, weekly-report) get their own row.
#
# Total page-route rows: 215
# Per-module counts:
#   master-data: 30
#   inventory: 28
#   purchasing: 8
#   sales: 25
#   accounting: 33
#   finance: 38
#   reports: 36
#   system: 17
#
# SKIPPED AJAX: 224 (returning JSON / form-POST mutations / file downloads)
# SKIPPED AUTH/BRANCH-SWITCH/UI-PREVIEW: 3
#
# Columns: module,menu_key,route_name,uri,controller,action,menu_label_bn,menu_label_en,has_help_content
module,menu_key,route_name,uri,controller,action,menu_label_bn,menu_label_en,has_help_content
reports,reports.reports-hub-generalLedger,admin.reports.generalLedger,admin/reports/general-ledger,ReportController,generalLedger,General Ledger,General Ledger,no
reports,reports.reports-hub-generalLedgerCte,admin.reports.generalLedgerCte,admin/reports/general-ledger-cte,ReportController,generalLedgerCte,General Ledger (CTE),General Ledger (CTE),no
reports,reports.reports-hub-grossMargin,admin.reports.grossMargin,admin/reports/gross-margin,ReportController,grossMargin,Gross Margin,Gross Margin,no
reports,reports.reports-hub-grossMarginCte,admin.reports.grossMarginCte,admin/reports/gross-margin-cte,ReportController,grossMarginCte,Gross Margin (CTE),Gross Margin (CTE),no
reports,reports.reports-hub-journalEntries,admin.reports.journalEntries,admin/reports/journal-entries,ReportController,journalEntries,Journal Entries,Journal Entries,no
reports,reports.reports-hub-payableAging,admin.reports.payableAging,admin/reports/payable-aging,ReportController,payableAging,Payable Aging,Payable Aging,no
reports,reports.reports-hub-productMovement,admin.reports.productMovement,admin/reports/product-movement,ReportController,productMovement,Product Movement,Product Movement,no
reports,reports.reports-hub-productStockAnalysis,admin.reports.productStockAnalysis,admin/reports/product-stock-analysis,ReportController,productStockAnalysis,Product Stock Analysis,Product Stock Analysis,no
reports,reports.reports-hub-profitAndLoss,admin.reports.profitAndLoss,admin/reports/profit-and-loss,ReportController,profitAndLoss,Profit & Loss,Profit & Loss,no
reports,reports.reports-hub-purchaseAudit,admin.reports.purchaseAudit,admin/reports/purchase-audit,ReportController,purchaseAudit,Purchase Audit (legacy),Purchase Audit (legacy),no
reports,reports.reports-hub-receivableAging,admin.reports.receivableAging,admin/reports/receivable-aging,ReportController,receivableAging,Receivable Aging,Receivable Aging,no
reports,reports.reports-hub-revenueOverview,admin.reports.revenueOverview,admin/reports/revenue-overview,ReportController,revenueOverview,Revenue Overview,Revenue Overview,no
reports,reports.reports-hub-salesAuditChecklist,admin.reports.salesAuditChecklist,admin/reports/sales-audit-checklist,ReportController,salesAuditChecklist,Sales Audit Checklist,Sales Audit Checklist,no
reports,reports.reports-hub-salesAuditRun,admin.reports.salesAuditRun,admin/reports/sales-audit-checklist/run,ReportController,salesAuditRun,Sales Audit Run,Sales Audit Run,no
reports,reports.reports-hub-stocktakeVariance,admin.reports.stocktakeVariance,admin/reports/stocktake-variance,ReportController,stocktakeVariance,Stocktake Variance,Stocktake Variance,no
reports,reports.reports-hub-stocktakeVarianceExport,admin.reports.stocktakeVarianceExport,admin/reports/stocktake-variance/export,ReportController,stocktakeVarianceExport,Stocktake Variance Export,Stocktake Variance Export,no
reports,reports.reports-hub-stocktakeWeekly,admin.reports.stocktakeWeekly,admin/reports/stocktake-weekly,ReportController,stocktakeWeekly,Stocktake Weekly,Stocktake Weekly,no
reports,reports.reports-hub-stocktakeWeeklyExport,admin.reports.stocktakeWeeklyExport,admin/reports/stocktake-weekly/export,ReportController,stocktakeWeeklyExport,Stocktake Weekly Export,Stocktake Weekly Export,no
reports,reports.reports-hub-supplierWisePurchase,admin.reports.supplierWisePurchase,admin/reports/supplier-wise-purchase,ReportController,supplierWisePurchase,Supplier-wise Purchase,Supplier-wise Purchase,no
reports,reports.reports-hub-todaySummaryCte,admin.reports.todaySummaryCte,admin/reports/today-summary-cte,ReportController,todaySummaryCte,Today Summary (CTE),Today Summary (CTE),no
reports,reports.reports-hub-trialBalance,admin.reports.trialBalance,admin/reports/trial-balance,ReportController,trialBalance,Trial Balance,Trial Balance,no
reports,reports.sales-funnel,admin.reports.salesFunnel,admin/reports/sales-funnel,SalesFunnelController,index,সেলস ফানেল,Sales Funnel,no
system,system.archive,admin.archive.index,admin/archive,ArchiveController,index,আর্কাইভ,Archive,no
system,system.archive-customerLedger,admin.archive.customer-ledger,admin/archive/customer-ledger/{customerId},ArchiveController,customerLedger,Customer Ledger Archive,Customer Ledger Archive,no
system,system.archive-supplierLedger,admin.archive.supplier-ledger,admin/archive/supplier-ledger/{supplierId},ArchiveController,supplierLedger,Supplier Ledger Archive,Supplier Ledger Archive,no
system,system.audit,admin.audit.index,admin/audit,GlobalAuditController,index,গ্লোবাল অডিট,Global Audit,no
system,system.audit-show,admin.audit.show,admin/audit/{id},GlobalAuditController,show,Audit Entry Detail,Audit Entry Detail,no
system,system.compliance,admin.compliance.index,admin/compliance,SystemPolicyController,index,সিস্টেম পলিসি,System Policy,no
system,system.notifications,admin.notifications.rules,admin/notifications/rules,NotificationController,rules,নোটিফিকেশন,Notifications,no
system,system.notifications-inbox,admin.notifications.inbox,admin/notifications/inbox,NotificationController,inbox,Notification Inbox,Notification Inbox,no
system,system.partition-health,admin.system.partition-health,admin/system/partition-health,PartitionHealthController,index,পার্টিশন হেলথ,Partition Health,no
system,system.sse,sse.events,sse/events,SseController,events,SSE ইভেন্ট,SSE Events,no
system,system.sse-status,sse.status,sse/status,SseController,status,SSE Status,SSE Status,no
system,system.system-health,admin.system-health.index,admin/system-health,SystemHealthController,index,সিস্টেম হেলথ,System Health,no
system,system.users,admin.users.index,admin/users,UserController,index,ইউজার,User,no
system,system.users-audit,admin.users.audit,admin/users/audit,UserController,audit,User Audit,User Audit,no
system,system.users-menu-permissions,admin.users.menu-permissions,admin/users/{user}/menu-permissions,UserController,menuPermissions,User Menu Permissions,User Menu Permissions,no
system,system.users-print,admin.users.print,admin/users/print,UserController,print,User Directory Print,User Directory Print,no
system,system.users-security-audit,admin.users.security,admin/users/{user}/security,UserController,securityAudit,User Security Audit,User Security Audit,no
